theta,phi,acc_x,acc_y,acc_z,abs_a,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
33.11,-179.005,-125,-95,1024,1035.966,3570,-1540,-2310,3377,212.115,swipe left
53.74,104.066,-461,-8,707,844.058,-14910,-55790,-3080,54607,-50.326,swipe left
52.674,0.346,-448,1788,1352,2285.946,-39130,107310,494410,-39442,52.328,swipe left
7.747,-145.394,1819,-11,1387,2287.498,150920,6580,-753060,26395,153.141,swipe left
18.731,175.192,-205,-23,1007,1027.911,980,-980,-140,1015,-156.461,swipe left
71.048,135.014,-321,27,950,1003.13,7630,4970,-18620,18392,-63.966,swipe left
40.687,-1.47,-1998,1997,970,2986.789,-17360,-66290,117250,1000,42.157,swipe left
16.222,-179.43,1480,-38,1722,2270.931,-630,87850,-131180,18699,195.652,swipe left
10.175,-55.568,-180,-32,1003,1019.525,-10780,9380,210,-5283,65.743,swipe left
80.336,135.014,109,-159,1074,1091.163,9940,-13510,-69930,38471,-54.678,swipe left
44.529,0.733,-1998,1997,481,2865.549,-560,-52430,-32410,-26414,43.796,swipe left
22.853,177.054,1562,-20,1588,2227.552,-21910,81760,81410,13793,-154.201,swipe left
27.888,176.415,-215,-55,1003,1027.258,-420,-1750,-630,1892,-148.527,swipe left
57.798,135.014,-431,27,816,923.225,14280,-4760,-40250,40027,-77.216,swipe left
52.492,-3.47,-1998,1997,1779,3338.39,-5810,-72940,257950,-4177,55.962,swipe left
28.496,177.402,1913,-116,1471,2415.96,-1190,107660,-298410,15652,-148.906,swipe left
18.912,179.193,-212,-37,1004,1026.805,-560,-1890,-5040,4874,-160.281,swipe left
65.073,133.619,-284,4,829,876.306,28280,11340,-41720,48084,-68.546,swipe left
45.007,-1.29,-1903,1997,1282,3041.864,-135520,-78400,585340,-31165,46.297,swipe left
49.008,174.659,1998,-45,1998,2825.957,117530,89600,-682920,-13412,-125.651,swipe left
12.298,-126.869,-191,-74,977,998.241,-910,-2730,1260,643,139.167,swipe left
