 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,1492.677,31.183,-4.006,-196,17,993,1012.301,350,-8540,-3780,9345,480.376,19.977,-179.048,-28,4,980,12.007,-700,-5600,1470,3237,swipe left
2,10000000,2908.102,67.625,132.045,771,-54,1277,1492.677,11200,27230,-18550,34799,1415.425,36.442,136.051,967,-71,1260,480.376,10850,35770,-14770,25454,swipe left
3,10000000,2028.634,35.72,-3.63,-1801,1997,1107,2908.102,-104160,-147070,548940,55691,-879.468,-31.905,-135.675,-2572,2051,1161,1415.425,-115360,-174300,567490,20892,swipe left
4,10000000,959.577,28.785,179.007,1182,-75,1647,2028.634,32060,7490,-115850,40252,-1069.057,-6.935,182.637,2983,-2072,-350,-879.468,136220,154560,-664790,-15439,swipe left
10,11000000,1461.406,19.916,6.111,-131,4,1000,1008.551,-1890,-3850,-9240,10186,452.855,12.45,-172.14,73,-6,990,3.578,1470,-1960,-8960,6321,swipe left
11,11000000,2854.346,81.761,135.014,495,53,1374,1461.406,25130,43750,-29540,58465,1392.94,61.845,128.903,626,49,1370,452.855,27020,47600,-20300,48279,swipe left
12,11000000,1871.122,36.711,-12.967,-1998,1997,409,2854.346,-165830,-156100,540050,64949,-983.224,-45.05,-147.981,-2493,1944,356,1392.94,-190960,-199850,569590,6484,swipe left
13,11000000,953.212,27.042,177.619,1090,-251,1500,1871.122,33880,8680,-61880,27520,-917.91,-9.669,190.586,3088,-2248,-497,-983.224,199710,164780,-601930,-37429,swipe left
18,12000000,1038.702,7.421,12.482,-68,-7,1030,1032.265,6300,-7280,-8960,13151,6.437,3.624,186.604,110,5,1042,61.727,1610,-2170,1540,567,swipe left
19,12000000,2596.391,52.265,20.526,131,29,1030,1038.702,18620,11410,-5950,22633,1557.689,44.844,8.044,199,36,1037,6.437,12320,18690,3010,9482,swipe left
20,12000000,2694.671,51.838,19.435,1923,720,1589,2596.391,-107520,-59010,352730,44969,98.28,-0.427,-1.091,1792,691,1560,1557.689,-126140,-70420,358680,22336,swipe left
21,12000000,975.393,13.611,157.456,1998,705,1665,2694.671,124880,198940,-517580,30637,-1719.278,-38.227,138.021,75,-15,945,98.28,232400,257950,-870310,-14332,swipe left
26,13000000,1036.165,12.653,174.691,-119,-9,1001,1008.088,350,-5670,-2450,6186,28.077,5.855,350.365,56,-4,1006,2.728,3360,-1540,-140,578,swipe left
27,13000000,2478.427,53.736,-1.089,-226,21,1011,1036.165,4900,-26530,-17290,32043,1442.262,41.083,-175.78,-107,30,1020,28.077,4550,-20860,-14840,25857,swipe left
