 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,1060.683,13.354,180,-245,0,1032,1060.683,2450,-3010,-19040,19431,48.201,4.348,349.824,-89,28,1060,48.201,3850,2170,-12460,10941,swipe left
2,10000000,3446.22,54.891,44.899,1997,1990,1982,3446.22,-221480,-95900,640500,18412,2385.537,41.537,-135.101,2242,1990,1982,2385.537,-223930,-92890,659540,-1019,swipe left
3,10000000,2935.308,47.103,21.697,1998,795,1998,2935.308,240380,174440,-551670,41347,-510.912,-7.788,-23.202,1,-1195,8,-510.912,461860,270340,-1192170,22935,swipe left
4,10000000,1267.058,31.094,171.386,-647,98,1085,1267.058,-14840,-32690,65030,34968,-1668.25,-16.009,149.689,-2645,-697,290,-1668.25,-255220,-207130,616700,-6379,swipe left
10,11000000,1038.977,23.472,174.592,-412,39,953,1038.977,9940,7490,-40110,41996,12.069,17.868,337.783,-316,68,982,12.069,11550,13510,-38430,35542,swipe left
11,11000000,2894.545,46.348,17.448,1998,628,1998,2894.545,-114310,91350,263970,29957,1855.568,22.876,-157.144,2410,589,1959,1855.568,-124250,83860,304080,-12039,swipe left
12,11000000,2027.673,85.445,29.685,1756,1001,161,2027.673,118370,47670,-634690,50034,-866.872,39.097,12.237,-242,373,-467,-866.872,232680,-43680,-898660,20077,swipe left
13,11000000,1318.273,47.003,173.508,-958,109,899,1318.273,-5040,910,39480,39810,-709.4,-38.442,143.823,-2714,-892,-102,-709.4,-123410,-46760,674170,-10224,swipe left
18,12000000,966.032,17.165,178.392,-285,8,923,966.032,8400,5250,-18270,20782,-39.549,11.694,328.35,-202,56,971,-39.549,9030,10500,-4970,6470,swipe left
19,12000000,2859.805,45.681,12.446,1998,441,1998,2859.805,-114380,70350,309470,46199,1893.773,28.516,-165.946,2283,433,1990,1893.773,-122780,65100,327740,25417,swipe left
20,12000000,2439.78,93.195,124.936,-1395,1997,-136,2439.78,88690,76300,-570920,18298,-420.025,47.514,112.49,-3393,1556,-577,-420.025,203070,5950,-880390,-27901,swipe left
21,12000000,850.294,18.993,128.692,-173,216,804,850.294,-52710,-81340,101080,49313,-1589.486,-74.202,3.756,1222,-1781,-1193,-1589.486,-141400,-157640,672000,31015,swipe left
26,13000000,985.24,9.753,-169.295,-164,-31,971,985.24,1260,-1750,-31850,31922,-47.64,2.671,-2.459,-40,-2,1000,-47.64,4410,12320,-25620,16216,swipe left
27,13000000,2533.542,52.28,-4.464,1998,-156,1550,2533.542,840,85260,-70840,60814,1548.302,42.527,164.831,2162,-125,1581,1548.302,-420,87010,-38990,28892,swipe left
28,13000000,3397.728,56.243,135.014,-1998,1997,1888,3397.728,64050,125090,-483000,62696,864.186,3.963,139.478,-3996,2153,2044,864.186,63210,39830,-412160,1882,swipe left
29,13000000,1608.895,19.243,5.302,528,49,1519,1608.895,-9800,-67900,69440,30633,-1788.833,-37,-129.712,2526,-1948,-478,-1788.833,-73850,-192990,552440,-32063,swipe left
34,14000000,1105.753,2.114,-72.897,12,-39,1105,1105.753,7630,11130,-28070,31145,115.175,-6.654,95.644,160,-9,1135,115.175,9730,15890,-24080,24589,swipe left
35,14000000,2827.817,45.044,3.208,1998,112,1998,2827.817,10080,175210,-107660,61123,1722.064,42.93,76.105,1986,151,2037,1722.064,2450,164080,-79590,29978,swipe left
36,14000000,2916.741,105.123,135.201,-1998,1984,-761,2916.741,-73220,59780,-398860,22812,88.924,60.079,131.993,-3996,1872,-873,88.924,-83300,-115430,-291200,-38311,swipe left
37,14000000,1460.895,35.455,-3.314,846,-49,1190,1460.895,-7770,-46760,14280,49505,-1455.846,-69.668,-138.515,2844,-2033,-794,-1455.846,65450,-106540,413140,26693,swipe left
42,15000000,1019.884,16.477,169.039,-284,55,978,1019.884,70,25970,-56980,62619,26.125,1.953,329.586,-49,138,1061,26.125,560,30030,-53900,57500,swipe left
43,15000000,3417.322,54.22,43.889,1998,1922,1998,3417.322,-111370,-116130,570850,62183,2397.438,37.743,-125.15,2282,1867,1943,2397.438,-111440,-142100,627830,-436,swipe left
44,15000000,2829.419,45.077,4.207,1998,147,1998,2829.419,183050,144340,-416640,17232,-587.903,-9.143,-39.682,0,-1775,76,-587.903,294420,260470,-987490,-44951,swipe left
45,15000000,1270.892,44.078,179.222,-884,12,913,1270.892,-70,-10570,49770,50880,-1558.527,-0.999,175.015,-2882,-135,766,-1558.527,-183120,-154910,466410,33648,swipe left
50,16000000,1214.938,18.373,8.257,379,55,1153,1214.938,22540,29610,-72520,48466,160.108,-11.245,-164.358,896,-12,1086,160.108,9800,28840,14350,-9966,swipe left
51,16000000,3456.599,54.81,135.014,-1998,1997,1992,3456.599,-240170,-285110,1140720,37382,2241.661,36.437,126.757,-2377,1942,1937,2241.661,-262710,-314720,1213240,-11084,swipe left
