 sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
1,10000000,1075.19,9.318,-171.078,-172,-27,1061,1075.19,-16240,18550,32130,40499,127.273,3.48,-130.284,-245,36,1124,127.273,-11620,19460,21980,29310,swipe right
2,10000000,3460.06,54.728,44.985,1998,1997,1998,3460.06,-71890,51030,-1038660,65230,2384.87,45.41,216.063,2170,2024,2025,2384.87,-55650,32480,-1070790,24731,swipe right
3,10000000,1428.896,2.029,108.434,-16,48,1428,1428.896,109550,-80920,-325010,62623,-2031.164,-52.699,63.449,-2014,-1949,-569,-2031.164,181440,-131950,713650,-2607,swipe right
4,10000000,861.745,7.173,-52.171,66,-85,855,861.745,-3150,-7280,28210,29304,-567.151,5.144,-160.605,82,-133,807,-567.151,-112700,73640,353220,-33319,swipe right
10,11000000,1149.88,6.271,-139.844,-96,-81,1143,1149.88,-17990,-5250,90160,64692,147.808,5.583,-8.211,-88,-72,1152,147.808,-10500,-5180,136710,17544,swipe right
11,11000000,2273.461,65.022,165.815,-1998,505,960,2273.461,-47460,-128310,-312690,22952,1123.581,58.751,305.659,-1902,586,1041,1123.581,-29470,-123060,-402850,-41740,swipe right
12,11000000,2576.192,66.312,122.167,-1256,1997,1035,2576.192,154490,-130480,1484980,63912,302.731,1.29,-43.648,742,1492,530,302.731,201950,-2170,1797670,40960,swipe right
13,11000000,1161.838,15.789,9.283,312,51,1118,1161.838,55790,26250,-30100,20313,-1414.354,-50.523,-112.884,1568,-1946,-879,-1414.354,-98700,156730,-1515080,-43599,swipe right
18,12000000,1154.281,13.582,154.663,-245,116,1122,1154.281,-8540,-6440,111860,63538,136.89,8.903,266.592,-214,193,1199,136.89,-2380,-3710,84770,35623,swipe right
19,12000000,3039.924,48.909,60.649,1123,1997,1998,3039.924,-67970,308070,-1231790,43885,1885.643,35.327,-94.014,1368,1881,1882,1885.643,-59430,314510,-1343650,-19653,swipe right
20,12000000,2034.567,98.137,-172.755,-1998,-254,-288,2034.567,-103740,103880,-143780,59758,-1005.357,49.228,-233.404,-3121,-2251,-2285,-1005.357,-35770,-204190,1088010,15873,swipe right
21,12000000,1239.058,9.234,-140.305,-153,-127,1223,1239.058,1120,-8400,6230,10517,-795.509,-88.903,32.45,1845,127,1477,-795.509,104860,-112280,150010,-49241,swipe right
26,13000000,976.644,6.162,-122.932,-57,-88,971,976.644,5600,9170,20300,22968,-33.086,0.055,-57.112,-101,10,1069,-33.086,11900,11900,13860,13555,swipe right
27,13000000,2127.298,40.15,-177.158,-1370,-68,1626,2127.298,-60760,103810,250600,65224,1150.654,33.988,-54.226,-1313,20,1714,1150.654,-66360,94640,230300,42256,swipe right
28,13000000,2048.262,91.762,77.273,451,1997,-63,2048.262,-220710,-346080,1248310,13611,-79.036,51.612,254.431,1821,2065,5,-79.036,-159950,-449890,997710,-51613,swipe right
29,13000000,730.263,23.831,-156.214,-270,-119,668,730.263,17150,5810,20790,27569,-1317.999,-67.931,-233.487,-721,-2116,-1329,-1317.999,237860,351890,-1227520,13958,swipe right
34,14000000,1007.243,8.178,-130.471,-93,-109,997,1007.243,7980,-1330,10920,13590,7.013,-2.472,1.239,30,29,1135,7.013,10850,1400,3150,4869,swipe right
35,14000000,2368.342,60.672,-165.384,-1998,-521,1160,2368.342,-22680,98210,-73570,51838,1361.099,52.494,-34.913,-1905,-412,1269,1361.099,-30660,99540,-84490,38248,swipe right
36,14000000,2785.909,72.429,131.244,-1751,1997,841,2785.909,150850,-59570,1246980,26748,417.567,11.757,296.628,247,2518,1362,417.567,173530,-157780,1320550,-25090,swipe right
