id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1030.442,7.762,-140.247,-107,-89,1021,1030.442,770,-3640,1960,4205,31.925,1.213,-3.469,-24,-11,1099,31.925,910,-420,490,663,swipe left
10000000,2826.257,45.013,1.748,1998,61,1998,2826.257,-60550,213640,9100,46330,1795.815,37.251,141.995,2105,150,2087,1795.815,-61320,217280,7140,42125,swipe left
10000000,2344.058,99.131,149.69,-1998,1168,-372,2344.058,-26040,44240,-328300,55154,-482.199,54.118,147.942,-3996,1107,-433,-482.199,34510,-169400,-337400,8824,swipe left
10000000,1570.921,16.4,9.865,437,76,1507,1570.921,-2660,-22540,18130,29048,-773.137,-82.731,-139.825,2435,-1092,339,-773.137,23380,-66780,346430,-26106,swipe left
11000000,1023.631,12.335,168.124,-214,45,1000,1023.631,5810,-2450,-13510,14909,85.373,10.991,255.521,-215,67,1022,85.373,-6370,-13160,1400,-7121,swipe left
11000000,2877.574,62.807,128.719,-1601,1997,1315,2877.574,-29470,-20230,591500,57075,1853.943,50.472,-39.405,-1387,1952,1270,1853.943,-35280,-17780,605010,42166,swipe left
11000000,2362.04,58.447,-6.962,1998,-244,1236,2362.04,28280,36120,-187740,54689,-515.534,-4.36,-135.681,3599,-2241,-761,-515.534,57750,56350,-779240,-2386,swipe left
11000000,1153.936,29.128,177.142,-561,28,1008,1153.936,2660,7700,18690,20388,-1208.104,-29.319,184.104,-2559,272,1252,-1208.104,-25620,-28420,206430,-34301,swipe left
12000000,986.285,7.432,-170.98,-126,-20,978,986.285,280,-4970,-5810,7650,-26.46,-0.921,-0.763,19,5,1003,-26.46,2870,-1680,-4410,3236,swipe left
12000000,2918.109,54.005,32.283,1996,1261,1715,2918.109,-168490,-103040,489230,58942,1931.824,46.573,203.263,2122,1281,1735,1931.824,-168770,-98070,495040,51292,swipe left
12000000,3199.849,54.701,43.479,1895,1797,1849,3199.849,231630,123200,-594580,38069,281.74,0.696,11.196,-101,536,588,281.74,400120,226240,-1083810,-20873,swipe left
12000000,1081.429,54.303,170.033,-865,152,631,1081.429,-28840,-28700,93870,43325,-2118.42,-0.398,126.554,-2760,-1645,-1166,-2118.42,-260470,-151900,688450,5256,swipe left
13000000,1034.294,8.843,180,-159,0,1022,1034.294,3710,-7840,-17220,19281,11.369,-0.956,358.025,15,6,1028,11.369,7000,1330,-8120,5950,swipe left
13000000,2831.518,45.119,-5.233,1998,-183,1998,2831.518,-40670,155540,119140,37234,1797.224,36.276,-185.233,2157,-183,1998,1797.224,-44380,163380,136360,17953,swipe left
13000000,2864.225,104.042,135.976,-1998,1931,-695,2864.225,-48650,35000,-426650,30634,32.707,58.923,141.209,-3996,2114,-512,32.707,-7980,-120540,-545790,-6600,swipe left
13000000,1063.727,5.404,-176.566,-100,-6,1059,1063.727,-20230,-31080,37310,52604,-1800.498,-98.638,-312.542,1898,-1937,-872,-1800.498,28420,-66080,463960,21970,swipe left
14000000,993.487,9.451,-177.54,-163,-7,980,993.487,14000,-770,-54460,56235,-15.132,0.379,-8.78,-7,24,1011,-15.132,14630,3360,-51030,50830,swipe left
14000000,2878.248,46.038,15.337,1998,548,1998,2878.248,-115500,188370,212520,61595,1884.761,36.587,192.877,2161,555,2005,1884.761,-129500,189140,266980,5360,swipe left
14000000,2169.888,108.374,120.462,-1044,1775,-684,2169.888,32690,103740,-583450,7563,-708.36,62.336,105.125,-3042,1227,-1232,-708.36,148190,-84630,-795970,-54032,swipe left
14000000,894.799,4.533,146.534,-59,39,892,894.799,-17640,-45290,100100,61582,-1275.089,-103.841,26.072,985,-1736,-883,-1275.089,-50330,-149030,683550,54019,swipe left
15000000,1029.793,9.04,-164.589,-156,-43,1017,1029.793,210,-3570,-7980,8744,-4.942,-0.64,-6.88,5,23,1083,-4.942,210,-560,-3360,3230,swipe left
