id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
10000000,1042.347,11.615,-97.666,-30,-203,997,1017.898,-1890,-1260,3780,4410,24.449,-0.015,0.74,-51,-8,1192,9.639,-630,1680,5460,798,swipe right
10000000,2488.918,53.884,-173.574,-28,-208,1021,1042.347,-1470,-5250,21560,22238,1446.571,42.269,-75.908,2,-5,1224,24.449,420,-3990,17780,17828,swipe right
10000000,3460.06,54.728,44.985,-1998,-225,1467,2488.918,-59990,-67970,139440,43502,971.142,0.844,218.559,-1970,-17,1675,1446.571,-58520,-62720,117880,21264,swipe right
10000000,1839.289,59.626,-11.855,1998,1997,1998,3460.06,1540,409430,-1819930,29274,-1620.771,4.898,-56.84,3996,2222,2223,971.142,61530,477400,-1959370,-14228,swipe right
11000000,1034.668,10.603,-103.671,20,-176,1013,1028.37,420,-1330,4200,4425,6.298,0.685,-20.155,44,4,1193,15.952,2030,3360,-910,-2695,swipe right
11000000,2542.803,51.382,-173.758,-45,-185,1017,1034.668,-2590,-1470,9940,10376,1508.135,40.779,-70.087,-65,-9,1193,6.298,-3010,-140,5740,5951,swipe right
11000000,3104.111,62.901,46.275,-1975,-216,1587,2542.803,18060,-61740,192710,51190,561.308,11.519,220.033,-1930,-31,1772,1508.135,20650,-60270,182770,40814,swipe right
11000000,1499.393,31.75,23.055,1910,1997,1414,3104.111,-216790,183260,-1119020,36715,-1604.718,-31.151,-23.22,3885,2213,1630,561.308,-234850,245000,-1311730,-14475,swipe right
12000000,1059.321,12.044,-34.121,-19,-203,988,1008.818,-1190,-1960,3080,3839,50.503,0.384,61.226,-21,-9,1182,-30.451,-350,3850,-3850,-5243,swipe right
12000000,2299.522,67.957,110.458,183,-124,1036,1059.321,-2240,-3080,54460,54592,1240.201,55.913,144.579,202,79,1239,50.503,-1050,-1120,51380,50753,swipe right
12000000,3460.06,54.728,135.014,-745,1997,863,2299.522,-102340,47250,-757470,48490,1160.538,-13.229,24.556,-928,2121,987,1240.201,-100100,50330,-811930,-6102,swipe right
12000000,1118.157,19.349,-28.363,-1998,1997,1998,3460.06,209300,-573370,1893150,30194,-2341.903,-35.379,-163.377,-1253,0,1,1160.538,311640,-620620,2650620,-18296,swipe right
13000000,1033.817,7.488,-65.907,26,-201,985,1005.635,-2870,-2730,3640,5379,28.182,-4.138,16.722,-58,-4,1182,-11.174,-1540,-840,4340,2965,swipe right
13000000,2918.486,51.895,60.409,55,-123,1025,1033.817,20300,-16170,98910,43206,1884.669,44.407,126.316,29,78,1226,28.182,23170,-13440,95270,37827,swipe right
13000000,2163.109,85.146,151.996,1134,1997,1801,2918.486,-173810,248010,-931840,47612,-755.377,33.251,91.587,1079,2120,1924,1884.669,-194110,264180,-1030750,4406,swipe right
13000000,1047.348,31.917,-14.538,-1903,1012,183,2163.109,-273000,272720,-675850,9382,-1115.761,-53.229,-166.534,-3037,-985,-1814,-755.377,-99190,24710,255990,-38230,swipe right
14000000,1014.122,5.168,-95.024,-8,-91,1010,1014.122,-1470,-3010,3080,4550,25.862,-0.153,1.868,3,0,1101,25.862,-280,1890,-350,-1548,swipe right
14000000,1605.344,26.313,43.405,517,489,1439,1605.344,-210,-2520,17780,17958,591.222,21.145,138.429,525,580,1530,591.222,1260,490,14700,13408,swipe right
14000000,2828.61,92.938,44.985,1998,1997,-145,2828.61,40600,31780,219310,59250,1223.266,66.625,1.58,1481,1508,-634,1223.266,40810,34300,201530,41292,swipe right
14000000,1099.679,24.331,-178.861,-453,-9,1002,1099.679,-22890,35980,299530,36639,-1728.931,-68.607,-223.846,-2451,-2006,-995,-1728.931,-63490,4200,80220,-22611,swipe right
15000000,1181.64,31.547,23.953,565,251,1007,1181.64,420,-4690,13650,14439,157.378,24.72,94.773,525,366,1122,157.378,-2310,-840,5110,4682,swipe right
15000000,2127.782,70.593,95.69,-199,1997,707,2127.782,-21210,50190,137270,18360,946.142,39.046,71.737,-764,1746,456,946.142,-21630,54880,123620,3921,swipe right
15000000,1786.443,17.367,-143.925,-431,-314,1705,1786.443,79590,71260,-1172360,53488,-341.339,-53.226,-239.615,-232,-2311,-292,-341.339,100800,21070,-1309630,35128,swipe right
15000000,1050.158,6.208,-77.799,24,-111,1044,1050.158,91210,-117530,-145320,17343,-736.285,-11.159,66.126,455,203,1358,-736.285,11620,-188790,1027040,-36145,swipe right
16000000,1080.193,4.406,-90,0,-83,1077,1080.193,840,-560,22400,22422,50.195,-1.78,-18.925,-36,22,1182,50.195,2100,2590,16380,15512,swipe right
16000000,2437.101,70.263,150.574,-1998,1127,823,2437.101,-6790,20300,66640,24578,1356.908,65.857,240.574,-1998,1210,906,1356.908,-7630,20860,44240,2156,swipe right
16000000,2563.153,65.252,120.917,-1196,1997,1073,2563.153,-52990,7490,-640430,26415,126.052,-5.011,-29.657,802,870,-54,126.052,-46200,-12810,-707070,1837,swipe right
16000000,1640.317,2.296,-63.824,29,-59,1639,1640.317,83440,-101220,1161790,34119,-922.836,-62.956,-184.741,1225,-2056,-358,-922.836,136430,-108710,1802220,7704,swipe right
